clip_limit,sigma,psnr,ssim,brisque
1.5,60,16.871297241444463,0.5215227345625559,34.37567445205168
1.5,80,17.033373853257924,0.5235332628091176,34.336963257326
1.5,120,17.267288577507923,0.5262305100758871,34.42186021879081
2.0,60,16.941159670292283,0.5208679894606273,34.57086857841339
2.0,80,17.100815950852382,0.5229738513628642,34.49069944215561
2.0,120,17.330788358828855,0.5257763246695201,34.57312300990133
3.0,60,17.006476627572376,0.5171548744042714,35.186570651342244
3.0,80,17.162654872691586,0.5194195767243703,35.138821533558605
3.0,120,17.389642421781158,0.5223947167396545,35.106475398084164
