clip_limit,sigma,psnr,ssim
1.5,60,15.633074742179216,0.48400082282721996
1.5,80,15.848486807387665,0.48681458123028276
1.5,120,16.142448617457266,0.49018686689436436
2.0,60,15.672042926987315,0.4829696422815323
2.0,80,15.884390607100068,0.48585719339549543
2.0,120,16.177842788241367,0.489352563470602
3.0,60,15.726487784188633,0.47924226842820644
3.0,80,15.933129405485694,0.4822369022667408
3.0,120,16.223498133130366,0.4859054347872734
